Date & Time,"Internal Sensor - Temperature (C)","Internal Sensor - Humidity (%RH)","Internal Sensor - Heat Index (C)","pH-Header-Cont. - Custom Value","pH-Header-Cont. - Volts","pH-Header-Treat - Custom Value","pH-Header-Treat - Volts","Power Sensor","pH 1 Q - Temperature (C)","pH 1 Q - Custom Value","pH 1 Q - Volts","pH 2 Q - Temperature (C)","pH 2 Q - Custom Value","pH 2 Q - Volts","Salinity 3 - Temperature (C)","Salinity 3 - Custom Value","Salinity 3 - Volts","Salinity 4 - Temperature (C)","Salinity 4 - Custom Value","Salinity 4 - Volts","Tank 3 - Temperature (C)","Tank 6 - Temperature (C)","pH-Exp-Treat. - Temperature (C)","pH-Exp-Treat. - Custom Value","pH-Exp-Treat. - Volts","pH-Exp-Cont. - Temperature (C)","pH-Exp-Cont. - Custom Value","pH-Exp-Cont. - Volts","Switch Sen 1","Switch Sen 2","Switch Sen 3","Switch Sen 4","Switch Sen 5","Switch Sen 6","Switch Sen 7","Switch Sen 8","Switch Sen 9","Switch Sen 10","Switch Sen 11","Switch Sen 12","Switch Sen 13","Switch Sen 14","Switch Sen 15","Switch Sen 16","Relay Output 1 - Relay Output","Relay Output 2 - Relay Output","Light Tower 1","Light Tower 2","Q Tank 1 - Temperature (C)","Q Tank 1 - Power","Treatment A - Temperature (C)","Treatment B - Temperature (C)","WiSH 1 Switch","Header Tanks - Temperature (C)","Header Tanks - Power","Header 1 - Temperature (C)","Header 2 - Temperature (C)","WiSH 6 Switch","Q Tank 2 - Temperature (C)","Q Tank 2 - Power","Control A - Temperature (C)","Control B - Temperature (C)","WiSH 7 Switch","WiSH Ceiling - Temperature (C)","WiSH Ceiling - Power","Tank 5 - Temperature (C)","Tank 2 - Temperature (C)","WiSH 8 Switch"
8/2/16 - 11:12:19,24.60,39.41,24.60,8.05,4.22,7.65,4.06,0,27.50,7.94,3.27,28.10,7.56,3.16,26.80,31.00,2.55,26.60,23.60,2.18,20.25,20.56,28.80,7.90,4.16,30.30,8.00,4.20,,,,,,,,,,,,,,,,,0,0,,,27.10,4.64,18.16,18.62,0,25.70,4.61,18.18,18.25,0,25.50,4.73,18.25,17.60,0,,,,,
8/2/16 - 11:17:29,24.40,39.09,24.40,8.05,4.22,7.65,4.06,0,27.50,7.94,3.27,28.10,7.56,3.16,26.90,31.00,2.55,26.60,23.40,2.17,20.31,20.62,28.90,7.88,4.15,30.60,8.00,4.20,,,,,,,,,,,,,,,,,0,0,,,27.40,4.64,18.35,19.06,0,25.70,4.62,18.18,18.25,0,25.60,4.73,18.37,17.72,0,,,,,
8/2/16 - 11:22:39,24.50,39.09,24.50,8.05,4.22,7.65,4.06,0,27.60,7.94,3.27,28.10,7.56,3.16,27.00,31.00,2.55,26.70,23.60,2.18,20.37,20.62,28.90,7.82,4.13,30.50,7.95,4.18,,,,,,,,,,,,,,,,,0,0,,,27.30,4.64,18.47,19.12,0,25.80,4.61,18.18,18.25,0,25.70,4.72,18.56,17.91,0,,,,,
8/2/16 - 11:27:49,24.60,38.77,24.60,8.05,4.22,7.65,4.06,0,27.70,7.94,3.27,28.30,7.60,3.17,27.00,31.00,2.55,26.80,23.60,2.18,20.31,20.62,28.80,7.80,4.12,30.40,7.92,4.17,,,,,,,,,,,,,,,,,0,0,,,27.40,4.64,18.60,19.31,0,26.00,4.61,18.18,18.25,0,25.90,4.73,18.68,17.97,0,,,,,
8/2/16 - 11:32:59,24.60,38.77,24.60,8.05,4.22,7.60,4.04,0,27.70,7.91,3.26,28.20,7.56,3.16,27.00,31.20,2.56,26.90,23.80,2.19,20.31,20.75,28.80,7.78,4.11,30.70,7.90,4.16,,,,,,,,,,,,,,,,,0,0,,,27.50,4.64,18.66,19.37,0,25.70,4.61,18.18,18.25,0,26.10,4.73,18.75,18.10,0,,,,,
8/2/16 - 11:38:09,24.70,38.43,24.70,8.05,4.22,7.40,3.96,0,27.70,7.91,3.26,28.30,7.56,3.16,27.20,31.00,2.55,26.90,23.40,2.17,20.31,20.62,28.70,7.80,4.12,30.40,7.90,4.16,,,,,,,,,,,,,,,,,0,0,,,27.50,4.64,18.78,19.56,0,25.80,4.61,18.25,18.25,0,26.20,4.73,18.87,18.22,0,,,,,
8/2/16 - 11:43:48,24.80,38.77,24.80,8.05,4.22,7.35,3.94,0,27.80,7.94,3.27,28.40,7.56,3.16,27.20,31.00,2.55,26.90,23.60,2.18,20.37,20.68,28.90,7.75,4.10,30.80,7.88,4.15,,,,,,,,,,,,,,,,,0,0,,,27.60,4.64,18.91,19.50,0,25.90,4.62,18.25,18.25,0,26.10,4.73,18.93,18.28,0,,,,,
8/2/16 - 11:49:28,24.80,38.11,24.80,8.05,4.22,7.40,3.96,0,27.70,7.91,3.26,28.50,7.56,3.16,27.20,31.00,2.55,26.80,23.40,2.17,20.37,20.87,29.00,7.78,4.11,30.60,7.80,4.12,,,,,,,,,,,,,,,,,0,0,,,27.20,4.64,19.10,20.12,0,26.00,4.61,18.18,18.25,0,25.90,4.72,19.12,18.41,0,,,,,
8/2/16 - 11:57:04,24.70,38.11,24.70,8.05,4.22,7.40,3.96,0,27.80,7.94,3.27,28.50,7.60,3.17,27.10,31.00,2.55,26.90,23.60,2.18,20.37,20.87,29.00,7.78,4.11,30.30,7.80,4.12,,,,,,,,,,,,,,,,,0,0,,,27.30,4.64,19.22,20.18,0,26.00,4.61,18.18,18.25,0,26.00,4.73,19.25,18.60,0,,,,,
8/2/16 - 12:02:13,24.80,37.79,24.80,8.00,4.20,7.40,3.96,0,27.80,7.94,3.27,28.50,7.60,3.17,27.30,31.20,2.56,27.00,23.40,2.17,20.50,20.87,28.90,7.78,4.11,30.50,7.80,4.12,,,,,,,,,,,,,,,,,0,0,,,27.30,4.64,19.28,20.12,0,26.00,4.61,18.18,18.31,0,25.90,4.73,19.37,18.60,0,,,,,
8/2/16 - 12:07:23,25.00,37.79,25.00,8.05,4.22,7.43,3.97,0,27.90,7.94,3.27,28.60,7.60,3.17,27.20,31.00,2.55,27.00,23.40,2.17,20.50,20.87,29.10,7.75,4.10,30.80,7.88,4.15,,,,,,,,,,,,,,,,,0,0,,,26.20,4.64,18.85,18.50,0,26.10,4.61,18.18,18.25,0,24.90,4.73,18.81,18.47,0,,,,,
8/2/16 - 12:12:33,25.00,37.79,25.00,8.05,4.22,7.43,3.97,0,28.00,7.91,3.26,28.60,7.60,3.17,27.30,31.40,2.57,27.00,23.40,2.17,20.62,21.00,29.10,7.78,4.11,31.10,7.82,4.13,,,,,,,,,,,,,,,,,0,0,,,25.10,4.64,18.47,17.93,0,26.20,4.62,18.18,18.31,0,23.80,4.73,18.37,18.28,0,,,,,
8/2/16 - 12:18:19,25.00,37.79,25.00,8.05,4.22,7.43,3.97,0,27.90,7.94,3.27,28.60,7.60,3.17,27.30,31.00,2.55,27.10,23.40,2.17,20.68,21.06,29.10,7.78,4.11,30.60,7.92,4.17,,,,,,,,,,,,,,,,,0,0,,,24.30,4.64,18.22,17.75,0,26.30,4.62,18.25,18.25,0,23.20,4.73,18.18,18.16,0,,,,,
8/2/16 - 12:23:29,25.10,37.79,25.10,8.05,4.22,7.43,3.97,0,28.00,8.02,3.29,28.70,7.60,3.17,27.30,31.00,2.55,27.20,23.60,2.18,20.87,21.12,29.30,7.80,4.12,31.00,7.95,4.18,,,,,,,,,,,,,,,,,0,0,,,23.80,4.64,18.16,17.81,0,26.30,4.61,18.25,18.31,0,22.80,4.73,18.25,18.16,0,,,,,
8/2/16 - 12:29:06,25.10,38.11,25.10,8.00,4.20,7.48,3.99,0,28.00,7.98,3.28,28.70,7.56,3.16,27.40,31.00,2.55,27.20,23.60,2.18,20.93,21.25,29.50,7.85,4.14,30.80,8.02,4.21,,,,,,,,,,,,,,,,,0,0,,,24.00,4.64,18.22,18.18,0,26.40,4.61,18.18,18.31,0,23.00,4.73,18.43,18.22,0,,,,,
8/2/16 - 12:34:16,25.20,38.11,25.20,8.05,4.22,7.52,4.01,0,28.30,8.02,3.29,28.80,7.56,3.16,27.50,31.00,2.55,27.30,23.40,2.17,20.93,21.18,29.50,7.85,4.14,30.80,8.08,4.23,,,,,,,,,,,,,,,,,0,0,,,24.50,4.64,18.16,18.06,0,26.20,4.62,18.25,18.31,0,23.20,4.73,18.50,18.28,0,,,,,
8/2/16 - 12:40:21,25.30,38.11,25.30,8.05,4.22,7.52,4.01,0,28.30,7.98,3.28,28.80,7.60,3.17,27.50,28.80,2.44,27.20,23.60,2.18,21.06,21.31,29.40,7.85,4.14,31.30,8.10,4.24,,,,,,,,,,,,,,,,,0,0,,,24.10,4.64,18.10,17.87,0,26.40,4.61,18.25,18.31,0,22.80,4.73,18.31,18.22,0,,,,,
8/2/16 - 12:45:30,25.30,38.11,25.30,8.05,4.22,7.52,4.01,0,28.20,7.98,3.28,28.80,7.60,3.17,27.60,31.40,2.57,27.40,23.60,2.18,21.00,21.18,29.50,7.85,4.14,31.00,8.02,4.21,,,,,,,,,,,,,,,,,0,0,,,24.00,4.64,18.03,17.81,0,26.60,4.61,18.25,18.31,0,22.70,4.73,18.25,18.16,0,28.90,4.71,17.43,17.32,0
8/2/16 - 12:51:45,25.30,37.79,25.30,8.05,4.22,7.58,4.03,0,28.20,7.98,3.28,28.90,7.56,3.16,27.80,31.00,2.55,27.40,23.40,2.17,20.93,21.12,29.40,7.78,4.11,31.00,8.02,4.21,,,,,,,,,,,,,,,,,0,0,,,24.60,4.64,17.97,17.93,0,26.40,4.62,18.25,18.31,0,22.90,4.73,18.31,18.10,0,30.20,4.71,17.43,17.32,0
8/2/16 - 12:57:04,25.40,37.79,25.40,8.05,4.22,7.58,4.03,0,28.40,7.98,3.28,29.10,7.60,3.17,27.90,31.00,2.55,27.60,23.80,2.19,21.00,21.12,29.50,7.78,4.11,31.20,7.95,4.18,,,,,,,,,,,,,,,,,0,0,,,26.00,4.64,18.03,18.37,0,26.50,4.61,18.25,18.31,0,23.90,4.73,18.56,18.10,0,30.90,4.71,17.43,17.38,0
8/2/16 - 13:02:14,25.30,37.46,25.30,8.05,4.22,7.58,4.03,0,28.30,7.98,3.28,29.00,7.56,3.16,27.70,31.20,2.56,27.50,23.60,2.18,21.00,21.31,29.60,7.78,4.11,31.20,7.92,4.17,,,,,,,,,,,,,,,,,0,0,,,26.80,4.64,18.10,18.62,0,26.40,4.62,18.25,18.31,0,24.60,4.73,18.75,18.16,0,31.20,4.71,17.43,17.38,0
8/2/16 - 13:07:24,25.50,37.79,25.50,8.00,4.20,7.58,4.03,0,28.40,8.02,3.29,29.10,7.60,3.17,27.90,31.00,2.55,27.50,23.60,2.18,21.12,21.62,29.80,7.75,4.10,31.10,7.92,4.17,,,,,,,,,,,,,,,,,0,0,,,24.80,4.64,18.22,18.37,0,26.50,4.62,18.25,18.31,0,24.10,4.73,18.81,18.22,0,31.40,4.71,17.50,17.38,0
8/2/16 - 13:12:34,25.50,37.79,25.50,8.00,4.20,7.60,4.04,0,28.40,7.98,3.28,29.10,7.56,3.16,27.80,31.20,2.56,27.60,23.80,2.19,21.31,21.68,29.60,7.78,4.11,31.00,7.92,4.17,,,,,,,,,,,,,,,,,0,0,,,23.00,4.64,18.22,18.00,0,26.60,4.61,18.25,18.31,0,22.60,4.73,18.56,18.16,0,31.50,4.71,17.43,17.38,0
8/2/16 - 13:19:02,25.70,37.79,25.70,8.05,4.22,7.60,4.04,0,28.60,7.98,3.28,29.20,7.60,3.17,27.90,31.60,2.58,27.60,23.60,2.18,21.31,21.81,29.80,7.78,4.11,31.10,7.95,4.18,,,,,,,,,,,,,,,,,0,0,,,22.40,4.64,18.10,17.93,0,26.70,4.62,18.25,18.31,0,22.20,4.73,18.37,18.10,0,31.80,4.71,17.50,17.45,0
